,日付,売上合計(円),ペールエール(本),ペールエール(円),ラガー(本),ラガー(円),IPA(本),IPA(円),ホワイトビール(本),ホワイトビール(円),黒ビール(本),黒ビール(円),フルーツビール(本),フルーツビール(円),降水量,平均気温,平均湿度,平均風速,weekday_土,weekday_月,weekday_木,weekday_水,weekday_火,weekday_金,total_beers_sold,昼の天気,夜の天気
29,2024-05-04,25500,8,8000,7,5600,4,3600,3,2700,3,3600,2,2000,0,20.9,57,2.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,27,快晴,快晴
30,2024-05-06,16900,5,5000,4,3200,4,3600,3,2700,2,2400,0,0,0.0,20.9,68,5.7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,18,曇後一時雨,曇後時々雨
31,2024-05-07,19700,5,5000,5,4000,4,3600,3,2700,2,2400,2,2000,5.0,20.0,88,4.1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,21,雨後時々曇,曇後一時晴
32,2024-05-08,19100,5,5000,4,3200,3,2700,4,3600,3,3600,1,1000,8.0,17.8,83,2.8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,20,曇後時々雨,雨
33,2024-05-09,14400,3,3000,3,2400,2,1800,2,1800,2,2400,3,3000,1.5,13.7,70,2.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,15,雨時々曇後晴,晴
34,2024-05-10,44500,10,10000,10,8000,8,7200,7,6300,5,6000,7,7000,0,17.5,50,3.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,47,晴,晴
35,2024-05-11,21500,4,4000,6,4800,4,3600,3,2700,2,2400,4,4000,0,20.3,61,5.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,23,晴,晴後一時薄曇
36,2024-05-13,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,58.5,19.3,96,3.8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,雨,雨後曇
37,2024-05-14,26900,7,7000,5,4000,4,3600,5,4500,4,4800,3,3000,0.0,16.9,71,2.6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,28,曇後晴,晴後薄曇
38,2024-05-15,9500,4,4000,2,1600,2,1800,1,900,1,1200,0,0,1.5,19.4,76,2.7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10,薄曇,雨一時曇
39,2024-05-16,8500,2,2000,2,1600,2,1800,1,900,1,1200,1,1000,10.0,18.7,79,4.0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9,晴時々曇一時雨,快晴
40,2024-05-17,28600,10,10000,7,5600,5,4500,3,2700,4,4800,1,1000,0,20.6,50,2.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,30,晴一時薄曇,快晴
41,2024-05-18,33600,7,7000,7,5600,4,3600,4,3600,4,4800,9,9000,0,21.9,59,2.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,35,晴後一時薄曇,薄曇
42,2024-05-20,9500,3,3000,2,1600,2,1800,1,900,1,1200,1,1000,34.0,17.4,92,1.9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10,雨後曇,薄曇
43,2024-05-21,15100,3,3000,4,3200,3,2700,2,1800,2,2400,2,2000,0.0,22.5,74,2.8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,16,薄曇,曇時々雨
44,2024-05-22,16200,3,3000,4,3200,2,1800,2,1800,2,2400,4,4000,0.0,20.6,61,3.5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,17,薄曇一時晴,薄曇
45,2024-05-23,17700,4,4000,3,2400,3,2700,2,1800,4,4800,2,2000,0,21.4,75,3.0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,18,曇,薄曇
46,2024-05-24,45800,10,10000,9,7200,8,7200,6,5400,5,6000,10,10000,0,23.3,67,2.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,48,薄曇後一時晴,曇一時晴
47,2024-05-25,21900,6,6000,5,4000,4,3600,3,2700,3,3600,2,2000,0,21.4,52,3.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,23,晴時々曇,曇時々晴
48,2024-05-27,25700,7,7000,7,5600,4,3600,3,2700,4,4800,2,2000,0.0,22.3,84,4.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,27,曇時々雨,曇後一時晴
49,2024-05-28,8500,2,2000,2,1600,2,1800,1,900,1,1200,1,1000,19.0,24.0,91,5.2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9,雨時々曇,雨時々曇
50,2024-05-29,26900,7,7000,5,4000,4,3600,3,2700,3,3600,6,6000,0.5,22.0,71,3.7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,28,曇後晴,晴
51,2024-05-30,29400,6,6000,7,5600,5,4500,5,4500,4,4800,4,4000,0.0,22.5,73,3.0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,31,晴後曇,曇時々雨
52,2024-05-31,16200,4,4000,3,2400,3,2700,3,2700,2,2400,2,2000,34.0,19.0,90,2.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,17,雨後曇,曇時々雨
53,2024-06-01,20200,6,6000,4,3200,3,2700,3,2700,3,3600,2,2000,0.0,20.9,75,2.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,21,曇,薄曇一時晴後雨
54,2024-06-03,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,25.5,18.3,88,2.2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,曇時々雨後一時晴、雷を伴う,雨後晴、雷を伴う
55,2024-06-04,17100,4,4000,4,3200,3,2700,2,1800,2,2400,3,3000,0,19.5,75,2.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,18,晴,曇時々晴
56,2024-06-05,22400,5,5000,6,4800,5,4500,3,2700,2,2400,3,3000,0,21.4,64,2.7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,24,快晴,晴後一時曇
57,2024-06-06,26000,7,7000,5,4000,5,4500,3,2700,4,4800,3,3000,0,22.0,72,3.0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,27,曇,薄曇後一時晴
58,2024-06-07,62900,20,20000,14,11200,9,8100,10,9000,8,9600,5,5000,0,22.1,67,2.7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,66,晴時々曇,晴後一時薄曇
59,2024-06-08,27300,6,6000,7,5600,4,3600,5,4500,3,3600,4,4000,0,22.8,66,2.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29,晴後薄曇,薄曇時々晴
60,2024-06-10,12200,3,3000,3,2400,2,1800,2,1800,1,1200,2,2000,17.0,20.7,85,2.4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,13,曇時々雨,曇後一時晴
61,2024-06-11,22800,5,5000,6,4800,4,3600,2,1800,3,3600,4,4000,0,24.0,73,3.2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,24,晴時々薄曇,晴時々薄曇
62,2024-06-12,12400,3,3000,3,2400,2,1800,2,1800,2,2400,1,1000,0.0,24.6,74,3.1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,13,薄曇後晴,晴後曇
63,2024-06-13,22000,6,6000,5,4000,3,2700,3,2700,3,3600,3,3000,0,22.6,81,2.0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,23,曇後一時晴,晴
64,2024-06-14,33000,7,7000,10,8000,7,6300,7,6300,2,2400,3,3000,0,25.9,67,2.7 ),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,36,快晴,晴後一時薄曇
65,2024-06-15,23900,7,7000,5,4000,3,2700,4,3600,3,3600,3,3000,0.5,24.8,75,2.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,25,薄曇,雨時々曇
66,2024-06-17,39200,8,8000,10,8000,5,4500,9,8100,3,3600,7,7000,0.0,26.0,75,2.1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42,曇,雨時々曇
67,2024-06-18,5800,2,2000,1,800,1,900,1,900,1,1200,0,0,98.0,19.2,100,2.0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6,大雨,曇時々晴一時雨
68,2024-06-19,19000,4,4000,4,3200,3,2700,3,2700,2,2400,4,4000,0,23.5,72,2.7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,20,晴,晴後一時薄曇
69,2024-06-20,26300,8,8000,6,4800,5,4500,6,5400,3,3600,0,0,0,24.4,75,3.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,28,薄曇,晴時々薄曇
70,2024-06-21,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,44.0,20.1,94,2.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,大雨,晴一時曇
71,2024-06-22,17300,4,4000,4,3200,3,2700,2,1800,3,3600,2,2000,0.0,23.9,67,3.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,18,薄曇時々晴,雨時々曇
72,2024-06-24,23100,4,4000,8,6400,6,5400,3,2700,3,3600,1,1000,0,26.7,81,2.1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,25,晴時々薄曇,曇後一時晴
73,2024-06-25,25300,5,5000,7,5600,4,3600,5,4500,3,3600,3,3000,0.0,27.8,76,2.0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,27,曇,曇
74,2024-06-26,21500,4,4000,6,4800,3,2700,4,3600,2,2400,4,4000,0.0,26.9,73,2.6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,23,曇,曇
75,2024-06-27,20600,4,4000,6,4800,3,2700,3,2700,2,2400,4,4000,0.0,25.4,70,3.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,22,曇一時晴,曇時々雨一時晴
76,2024-06-28,11300,3,3000,3,2400,2,1800,1,900,1,1200,2,2000,82.5,22.0,98,1.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,大雨,雨時々曇
77,2024-06-29,22100,6,6000,4,3200,3,2700,4,3600,3,3600,3,3000,0.0,23.7,87,2.0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,23,曇後晴,晴後曇
78,2024-07-01,13800,3,3000,4,3200,3,2700,3,2700,1,1200,1,1000,12.5,26.3,89,4.8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,15,雨後一時曇,曇一時雨
79,2024-07-02,21400,4,4000,6,4800,4,3600,4,3600,2,2400,3,3000,0.0,27.3,80,2.3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,23,曇,曇後一時雨
80,2024-07-03,39500,7,7000,10,8000,6,5400,7,6300,4,4800,8,8000,0.0,27.7,77,2.6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,42,薄曇時々晴,晴時々薄曇
81,2024-07-04,30100,6,6000,7,5600,5,4500,6,5400,3,3600,5,5000,0,29.3,75,2.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,32,晴後一時曇,快晴
82,2024-07-05,60400,11,11000,17,13600,10,9000,14,12600,6,7200,7,7000,0,30.2,70,2.7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,65,快晴,晴時々曇
83,2024-07-06,4600,1,1000,1,800,1,900,1,900,0,0,1,1000,36.0,28.1,84,2.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,薄曇後一時大雨、雷を伴う,曇時々晴一時雨、雷を伴う
84,2024-07-08,39500,8,8000,13,10400,6,5400,9,8100,3,3600,4,4000,0,30.9,73,2.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,43,薄曇後晴,晴時々薄曇
85,2024-07-09,18700,4,4000,5,4000,3,2700,4,3600,2,2400,2,2000,0.0,30.1,72,2.8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20,曇時々雨一時晴,晴時々曇一時雨
86,2024-07-10,26800,5,5000,9,7200,5,4500,5,4500,3,3600,2,2000,0.0,29.5,70,3.7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,29,曇,曇一時雨
87,2024-07-11,17600,5,5000,5,4000,3,2700,3,2700,1,1200,2,2000,0.5,27.8,77,4.0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,19,曇時々雨,曇後一時雨
88,2024-07-12,20000,5,5000,4,3200,5,4500,3,2700,3,3600,1,1000,13.5,24.4,93,1.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,21,雨,雨後曇
89,2024-07-13,27500,7,7000,6,4800,4,3600,5,4500,3,3600,4,4000,0.0,26.2,82,2.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29,薄曇後一時雨,雨時々曇
90,2024-07-15,23700,6,6000,9,7200,5,4500,4,3600,2,2400,0,0,0.5,24.6,87,2.4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,26,曇一時雨,曇後一時雨
91,2024-07-16,5800,1,1000,1,800,1,900,1,900,1,1200,1,1000,11.5,23.9,90,1.8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6,雨時々曇,雨時々曇
92,2024-07-17,13900,3,3000,4,3200,2,1800,3,2700,1,1200,2,2000,1.0,25.8,87,1.7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,15,曇,曇
93,2024-07-18,41800,8,8000,12,9600,7,6300,7,6300,3,3600,8,8000,0.0,28.4,77,2.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,45,薄曇後一時晴,曇
94,2024-07-19,34100,6,6000,12,9600,5,4500,6,5400,3,3600,5,5000,0,30.0,72,3.0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,37,曇後一時晴,曇後晴
95,2024-07-20,11200,2,2000,3,2400,2,1800,2,1800,1,1200,2,2000,45.0,30.7,76,2.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12,晴後曇,大雨時々曇、雷を伴う
96,2024-07-22,27100,5,5000,8,6400,4,3600,7,6300,4,4800,1,1000,9.5,30.5,75,2.6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,29,晴後一時薄曇、雷を伴う,曇一時雨後晴、雷を伴う
97,2024-07-23,24500,6,6000,7,5600,5,4500,4,3600,4,4800,0,0,0,29.5,82,2.9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,26,快晴,晴後一時薄曇
98,2024-07-24,27400,6,6000,7,5600,4,3600,4,3600,3,3600,5,5000,0.0,30.1,69,2.2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,29,曇時々晴、雷を伴う,薄曇
99,2024-07-25,18700,5,5000,5,4000,2,1800,3,2700,1,1200,4,4000,0.5,30.2,72,2.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,20,晴時々薄曇一時雨,薄曇時々晴後一時雨、雷を伴う
100,2024-07-26,52800,10,10000,15,12000,10,9000,12,10800,5,6000,5,5000,0.0,30.1,73,2.4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,57,薄曇,曇一時雨
101,2024-07-27,22500,5,5000,5,4000,4,3600,5,4500,2,2400,3,3000,0.5,30.3,76,1.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,24,薄曇後一時雨,薄曇時々晴一時雨
102,2024-07-29,26000,6,6000,8,6400,4,3600,6,5400,3,3600,1,1000,0,32.3,61,3.1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,28,薄曇後一時晴,晴
103,2024-07-30,19700,4,4000,5,4000,3,2700,4,3600,2,2400,3,3000,0.5,30.8,68,2.3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,21,曇時々晴後一時雨,曇
104,2024-07-31,13000,3,3000,4,3200,2,1800,2,1800,1,1200,2,2000,42.5,29.4,77,2.7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,14,曇後一時雨,曇一時大雨後時々晴、雷を伴う
105,2024-08-01,24400,5,5000,6,4800,4,3600,4,3600,2,2400,5,5000,0,28.5,74,2.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,26,薄曇一時晴,曇時々晴
106,2024-08-02,45300,8,8000,17,13600,11,9900,8,7200,3,3600,3,3000,0,28.7,74,2.6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,50,曇後晴,曇時々晴
107,2024-08-03,22700,4,4000,6,4800,4,3600,3,2700,3,3600,4,4000,0,29.4,73,2.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,24,晴一時曇,晴後一時曇
108,2024-08-05,19700,4,4000,5,4000,4,3600,3,2700,2,2400,3,3000,0,30.0,72,2.6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21,薄曇一時晴,曇一時晴
109,2024-08-06,26300,5,5000,7,5600,4,3600,5,4500,3,3600,4,4000,0,29.9,74,2.3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,28,曇,曇、雷を伴う
110,2024-08-07,10200,2,2000,3,2400,2,1800,2,1800,1,1200,1,1000,76.5,28.9,80,2.6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,11,薄曇後一時晴,大雨時々曇、雷を伴う
111,2024-08-08,27900,5,5000,9,7200,6,5400,5,4500,4,4800,1,1000,0.0,28.1,87,2.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,30,晴時々曇,晴
112,2024-08-09,41100,9,9000,12,9600,6,5400,7,6300,4,4800,6,6000,0,30.0,74,2.7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,44,晴一時曇,晴一時曇
113,2024-08-10,26100,6,6000,7,5600,6,5400,5,4500,3,3600,1,1000,0,30.0,69,2.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,28,晴後薄曇,晴時々曇
114,2024-08-12,22200,5,5000,8,6400,3,2700,3,2700,2,2400,3,3000,0,31.2,70,3.9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,24,晴,晴
115,2024-08-13,26400,5,5000,6,4800,5,4500,5,4500,3,3600,4,4000,0,30.8,73,3.6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,28,晴,晴一時曇
116,2024-08-14,15800,3,3000,5,4000,3,2700,3,2700,2,2400,1,1000,0.0,30.4,74,2.7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,17,晴,晴時々曇
117,2024-08-15,22200,5,5000,7,5600,4,3600,4,3600,2,2400,2,2000,0.0,30.3,75,2.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,24,晴時々薄曇,曇後雨
118,2024-08-16,5600,1,1000,2,1600,1,900,1,900,1,1200,0,0,90.0,26.7,95,4.2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6,大雨、雷を伴う,雨後曇
119,2024-08-17,20300,4,4000,6,4800,3,2700,4,3600,1,1200,4,4000,0.0,30.4,74,2.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,22,晴後一時雨,晴後曇
120,2024-08-19,15100,3,3000,4,3200,3,2700,2,1800,2,2400,2,2000,22.0,29.2,83,2.4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,16,曇時々晴,雨時々曇、雷を伴う
121,2024-08-20,34800,7,7000,10,8000,5,4500,5,4500,4,4800,6,6000,0.5,28.3,81,2.4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,37,晴一時雨,曇一時晴
122,2024-08-21,6600,1,1000,2,1600,1,900,1,900,1,1200,1,1000,21.0,28.3,83,2.8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,曇時々晴,曇一時雨、雷を伴う
123,2024-08-22,19600,5,5000,6,4800,3,2700,3,2700,2,2400,2,2000,16.0,27.5,91,3.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,21,曇時々雨、雷を伴う,曇
124,2024-08-23,41900,12,12000,12,9600,7,6300,8,7200,4,4800,2,2000,0.0,28.9,83,4.0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,45,曇後晴,曇時々晴
125,2024-08-24,20500,5,5000,5,4000,4,3600,3,2700,1,1200,4,4000,1.0,29.4,80,3.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,22,晴時々曇,曇一時雨後一時晴、雷を伴う
126,2024-08-26,21800,5,5000,6,4800,3,2700,3,2700,3,3600,3,3000,0,29.2,76,4.4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,23,晴後一時薄曇,晴時々薄曇一時雨、雷を伴う
127,2024-08-27,6600,1,1000,2,1600,1,900,1,900,1,1200,1,1000,30.0,27.7,85,4.7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,7,曇時々雨,曇
128,2024-08-28,18800,4,4000,5,4000,3,2700,3,2700,2,2400,3,3000,0.0,28.0,82,3.5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,20,曇,晴後一時薄曇
129,2024-08-29,10200,2,2000,3,2400,2,1800,2,1800,1,1200,1,1000,23.0,27.1,89,2.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,11,薄曇時々雨,大雨
130,2024-08-30,11200,2,2000,3,2400,2,1800,2,1800,1,1200,2,2000,84.0,26.0,99,3.2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,大雨後時々曇,雨時々曇
131,2024-08-31,7500,2,2000,2,1600,1,900,2,1800,1,1200,0,0,15.5,27.1,95,3.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,曇時々雨,雨後一時薄曇、雷を伴う
132,2024-09-02,25900,6,6000,7,5600,5,4500,6,5400,2,2400,2,2000,0.0,29.3,80,4.9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,28,晴,晴時々曇
133,2024-09-03,12200,2,2000,3,2400,2,1800,2,1800,1,1200,3,3000,9.5,24.9,88,2.8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,13,曇時々雨,曇
